id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,name_card,power_level,tournamentYear
base1-81,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Energy Retrieval,81,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.'],none,none,none,none,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,False,Energy Retrieval,Energy Retrieval,0.017746913580246913,2023
base1-95,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Switch,95,none,Trainer,none,none,none,none,none,none,none,none,none,none,Common,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Switch 1 of your own Benched Pokémon with your Active Pokémon.'],none,none,none,none,Switch 1 of your own Benched Pokémon with your Active Pokémon.,False,Switch,Switch,0.09362139917695474,2023
base3-59,Fossil,Base,WOTC,First,10/10/1999,Keiji Kinebuchi,Energy Search,59,none,Trainer,none,none,none,none,none,none,none,none,none,none,Common,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.'],none,none,none,none,Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.,False,Energy Search,Energy Search,0.00720164609053498,2023
neo1-103,Neo Genesis,Neo,WOTC,Second,12/16/2000,Keiji Kinebuchi,Super Rod,103,none,Trainer,none,none,none,none,none,none,none,none,none,none,Common,none,none,"{'standard': 'Legal', 'expanded': 'Legal', 'unlimited': 'Legal'}",none,"['Flip a coin. If heads, put an Evolution card from your discard pile, if any, into your hand. If tails, put a Basic Pokémon card from your discard pile, if any, into your hand.']",none,none,none,none,Flip a coin. If heads put an Evolution card from your discard pile if any into your hand. If tails put a Basic Pokémon card from your discard pile if any into your hand.,False,Super Rod,Super Rod,0.16113683127572018,2023
ex2-88,Sandstorm,EX,TPCI,Third,9/18/2003,Ryo Ueda,Rare Candy,88,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Choose 1 of your Basic Pokémon in play. If you have a Stage 1 or Stage 2 card that evolves from that Pokémon in your hand, put that card on the Basic Pokémon. (This counts as evolving that Pokémon.)']",none,none,none,none,Choose 1 of your Basic Pokémon in play. If you have a Stage 1 or Stage 2 card that evolves from that Pokémon in your hand put that card on the Basic Pokémon. (This counts as evolving that Pokémon.),False,Rare Candy,Rare Candy,0.14930555555555555,2023
ex6-92,FireRed & LeafGreen,EX,TPCI,Third,9/1/2004,Nakaoka,Great Ball,92,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.'],none,none,none,none,Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.,False,Great Ball,Great Ball,0.009645061728395061,2023
hgss1-96,HeartGold & SoulSilver,HeartGold & SoulSilver,TPCI,Fourth,2/10/2010,Noriko Hotta,Pokégear 3.0,96,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Look at the top 7 cards of your deck. Choose a Supporter card you find there, show it to your opponent, and put it into your hand. Shuffle the other cards back into your deck.']",none,none,none,none,Look at the top 7 cards of your deck. Choose a Supporter card you find there show it to your opponent and put it into your hand. Shuffle the other cards back into your deck.,False,Pokégear 3.0,Pokégear 3.0,0.06044238683127572,2023
hgss2-78,Unleashed,HeartGold & SoulSilver,TPCI,Fourth,5/12/2010,Kouki Saitou,Judge,78,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card.', 'Each player shuffles his or her hand into his or her deck and draws 4 cards.']",none,none,none,none,You can play only one Supporter card each turn. When you play this card put it next to your Active Pokémon. When your turn ends discard this card. Each player shuffles his or her hand into his or her deck and draws 4 cards.,False,Judge,Judge,0.2349537037037037,2023
bwp-BW95,BW Black Star Promos,Black & White,TPCI,Fifth,3/1/2011,Naoki Saito,Champions Festival,BW95,none,Trainer,['Stadium'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"[""Once during each player's turn, if that player has 6 Pokémon in play, he or she may heal 10 damage from each of his or her Pokémon."", ""This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.""]",none,none,none,none,"""Once during each players turn if that player has 6 Pokémon in play he or she may heal 10 damage from each of his or her Pokémon."" ""This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play you cant play this card.""",False,Champions Festival,Champions Festival,0.002700617283950617,2023
bw2-92,Emerging Powers,Black & White,TPCI,Fifth,8/31/2011,5ban Graphics,Crushing Hammer,92,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Flip a coin. If heads, discard an Energy attached to 1 of your opponent's Pokémon."", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Flip a coin. If heads discard an Energy attached to 1 of your opponents Pokémon."" You may play as many Item cards as you like during your turn (before your attack).",False,Crushing Hammer,Crushing Hammer,0.0021862139917695473,2023
