id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,name_card,power_level,tournamentYear
base1-81,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Energy Retrieval,81,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.'],none,none,none,none,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,False,Energy Retrieval,Energy Retrieval,0.01893939393939394,2021
base1-95,Base,Base,WOTC,First,1/9/1999,Keiji Kinebuchi,Switch,95,none,Trainer,none,none,none,none,none,none,none,none,none,none,Common,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Switch 1 of your own Benched Pokémon with your Active Pokémon.'],none,none,none,none,Switch 1 of your own Benched Pokémon with your Active Pokémon.,False,Switch,Switch,0.6590909090909091,2021
base3-59,Fossil,Base,WOTC,First,10/10/1999,Keiji Kinebuchi,Energy Search,59,none,Trainer,none,none,none,none,none,none,none,none,none,none,Common,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.'],none,none,none,none,Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.,False,Energy Search,Energy Search,0.022727272727272728,2021
ecard2-120,Aquapolis,E-Card,WOTC,Second,1/15/2003,Mikio Menjo,Energy Switch,120,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.'],none,none,none,none,Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.,False,Energy Switch,Energy Switch,0.14772727272727273,2021
ecard2-139,Aquapolis,E-Card,WOTC,Second,1/15/2003,Kai Ishikawa,Power Plant,139,none,Trainer,['Stadium'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,{'unlimited': 'Legal'},none,"['This card stays in play when you play it. Discard this card if another Stadium card comes into play.', 'Once during each of his or her turns, a player may discard a basic Energy card from his or her hand. If that player does, he or she chooses a basic Energy card from his or her discard pile, shows it to his or her opponent, and then puts it into his or her hand.']",none,none,none,none,This card stays in play when you play it. Discard this card if another Stadium card comes into play. Once during each of his or her turns a player may discard a basic Energy card from his or her hand. If that player does he or she chooses a basic Energy card from his or her discard pile shows it to his or her opponent and then puts it into his or her hand.,False,Power Plant,Power Plant,0.11363636363636363,2021
ecard3-127,Skyridge,E-Card,WOTC,Second,5/12/2003,Katsura Tabata,Hyper Potion,127,none,Trainer,none,none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Choose 1 of your Pokémon. Discard 1 or 2 basic Energy cards attached to that Pokémon. If you discarded 1 Energy card, remove up to 3 damage counters from that Pokémon. If you discarded 2 Energy cards, remove up to 5 damage counters from that Pokémon.']",none,none,none,none,Choose 1 of your Pokémon. Discard 1 or 2 basic Energy cards attached to that Pokémon. If you discarded 1 Energy card remove up to 3 damage counters from that Pokémon. If you discarded 2 Energy cards remove up to 5 damage counters from that Pokémon.,False,Hyper Potion,Hyper Potion,0.007575757575757576,2021
ex2-88,Sandstorm,EX,TPCI,Third,9/18/2003,Ryo Ueda,Rare Candy,88,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Choose 1 of your Basic Pokémon in play. If you have a Stage 1 or Stage 2 card that evolves from that Pokémon in your hand, put that card on the Basic Pokémon. (This counts as evolving that Pokémon.)']",none,none,none,none,Choose 1 of your Basic Pokémon in play. If you have a Stage 1 or Stage 2 card that evolves from that Pokémon in your hand put that card on the Basic Pokémon. (This counts as evolving that Pokémon.),False,Rare Candy,Rare Candy,0.030303030303030304,2021
ex6-92,FireRed & LeafGreen,EX,TPCI,Third,9/1/2004,Nakaoka,Great Ball,92,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,['Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.'],none,none,none,none,Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.,False,Great Ball,Great Ball,0.11742424242424243,2021
dp2-114,Mysterious Treasures,Diamond & Pearl,TPCI,Fourth ,8/1/2007,Ryo Ueda,Quick Ball,114,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"[""Reveal cards from your deck until you reveal a Pokémon. Show that Pokémon to your opponent and put it into your hand. Shuffle the other revealed cards back into your deck. (If you don't reveal a Pokémon, shuffle all the revealed cards back into your deck.)""]",none,none,none,none,"""Reveal cards from your deck until you reveal a Pokémon. Show that Pokémon to your opponent and put it into your hand. Shuffle the other revealed cards back into your deck. (If you dont reveal a Pokémon shuffle all the revealed cards back into your deck.)""",False,Quick Ball,Quick Ball,0.9962121212121212,2021
hgss1-96,HeartGold & SoulSilver,HeartGold & SoulSilver,TPCI,Fourth,2/10/2010,Noriko Hotta,Pokégear 3.0,96,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Look at the top 7 cards of your deck. Choose a Supporter card you find there, show it to your opponent, and put it into your hand. Shuffle the other cards back into your deck.']",none,none,none,none,Look at the top 7 cards of your deck. Choose a Supporter card you find there show it to your opponent and put it into your hand. Shuffle the other cards back into your deck.,False,Pokégear 3.0,Pokégear 3.0,0.045454545454545456,2021
