id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,power_level,tournamentYear
ecard2-81,Aquapolis,E-Card,WOTC,Second,1/15/2003,Tomokazu Komiya,Hitmonchan,81,['Fighting'],Pokémon,['Basic'],none,60.0,none,none,none,"[{'name': 'Rush', 'cost': ['Fighting', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10×', 'text': ""Flip 5 coins. This attack does 10 damage times the number of heads. Hitmonchan can't attack during your next turn.""}, {'name': 'Smash Punch', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Common,none,[107],{'unlimited': 'Legal'},none,none,none,none,"name: Rush cost: Fighting Colorless convertedEnergyCost: 2 damage: 10× text: ""Flip 5 coins. This attack does 10 damage times the number of heads. Hitmonchan cant attack during your next turn."" name: Smash Punch cost: Colorless Colorless Colorless convertedEnergyCost: 3 damage: 50 text: Flip a coin. If tails this attack does nothing.",none,none,False,81-hitmonchan,0.0002871912693854107,2022
ex1-67,Ruby & Sapphire,EX,TPCI,Third,7/1/2003,Atsuko Nishida,Ralts,67,['Psychic'],Pokémon,['Basic'],none,50.0,none,['Kirlia'],none,"[{'name': 'Headbutt', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Hypnoblast', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'The Defending Pokémon is now Asleep.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Common,none,[280],{'unlimited': 'Legal'},none,none,none,none,name: Headbutt cost: Colorless convertedEnergyCost: 1 damage: 10 text:  name: Hypnoblast cost: Psychic Colorless convertedEnergyCost: 2 damage: 20 text: The Defending Pokémon is now Asleep.,none,none,False,67-ralts,0.00014359563469270534,2022
ex3-63,Dragon,EX,TPCI,Third,11/24/2003,Kyoko Umemoto,Magnemite,63,['Lightning'],Pokémon,['Basic'],none,50.0,none,['Magneton'],none,"[{'name': 'Thundershock', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '10', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,Common,none,[81],{'unlimited': 'Legal'},none,none,none,none,name: Thundershock cost: Lightning convertedEnergyCost: 1 damage: 10 text: Flip a coin. If heads the Defending Pokémon is now Paralyzed.,none,none,False,63-magnemite,0.00043078690407811603,2022
ex8-17,Deoxys,EX,TPCI,Third,2/1/2005,Hironobu Yoshida,Deoxys,17,['Psychic'],Pokémon,['Basic'],none,70.0,none,none,"[{'name': 'Form Change', 'text': ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", 'type': 'Poké-Power'}]","[{'name': 'Energy Crush', 'cost': ['Psychic', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '10+', 'text': ""Does 10 damage plus 10 more damage for each Energy attached to all of your opponent's Pokémon.""}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Rare,none,[386],{'unlimited': 'Legal'},none,none,none,none,"name: Energy Crush cost: Psychic Colorless Colorless convertedEnergyCost: 3 damage: 10+ text: ""Does 10 damage plus 10 more damage for each Energy attached to all of your opponents Pokémon.""","name: Form Change text: ""Once during your turn (before your attack) you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys damage counters Special Conditions and effects on it are now on the new Pokémon.) If you do put Deoxys on top of your deck. Shuffle your deck afterward. You cant use more than 1 Form Change Poké-Power each turn."" type: Poké-Power",none,False,17-deoxys,0.0015795519816197588,2022
ex15-60,Dragon Frontiers,EX,TPCI,Third,11/1/2006,Hajime Kusajima,Ralts,60,['Psychic'],Pokémon,['Basic'],none,50.0,none,['Kirlia'],none,"[{'name': 'Hypnosis', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'The Defending Pokémon is now Asleep.'}, {'name': 'Psychic Boom', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '10×', 'text': 'Does 10 damage times the amount of Energy attached to the Defending Pokémon.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Common,none,[280],{'unlimited': 'Legal'},none,none,none,none,name: Hypnosis cost: Colorless convertedEnergyCost: 1 damage:  text: The Defending Pokémon is now Asleep. name: Psychic Boom cost: Psychic convertedEnergyCost: 1 damage: 10× text: Does 10 damage times the amount of Energy attached to the Defending Pokémon.,none,none,False,6-ralts,0.0060310166570936245,2022
pl1-34,Platinum,Platinum,TPCI,Fourth,2/11/2009,Kagemaru Himeno,Ludicolo,34,['Grass'],Pokémon,['Stage 2'],52,120.0,Lombre,none,"[{'name': 'Cheerful Voice', 'text': ""Once during your turn (before your attack), you may use this power. If you do, your turn ends. During your next turn, each of Ludicolo's attacks does 60 more damage to the Defending Pokémon (before applying Weakness and Resistance). This power can't be used if Ludicolo is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Mad Dance', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'The Defending Pokémon is now Confused.'}, {'name': 'Best Dance', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': ""After doing damage, remove from Ludicolo the number of damage counters equal to the damage you did to the Defending Pokémon. Ludicolo can't use Best Dance during your next turn.""}]","[{'type': 'Lightning', 'value': '+30'}]","['Colorless', 'Colorless']",2.0,Rare,none,[272],{'unlimited': 'Legal'},none,none,none,none,"name: Mad Dance cost: Water Colorless convertedEnergyCost: 2 damage: 20 text: The Defending Pokémon is now Confused. name: Best Dance cost: Grass Colorless Colorless convertedEnergyCost: 3 damage: 60 text: ""After doing damage remove from Ludicolo the number of damage counters equal to the damage you did to the Defending Pokémon. Ludicolo cant use Best Dance during your next turn.""","name: Cheerful Voice text: ""Once during your turn (before your attack) you may use this power. If you do your turn ends. During your next turn each of Ludicolos attacks does 60 more damage to the Defending Pokémon (before applying Weakness and Resistance). This power cant be used if Ludicolo is affected by a Special Condition."" type: Poké-Power",none,False,34-ludicolo,0.0005743825387708214,2022
pl3-48,Supreme Victors,Platinum,TPCI,Fourth,8/19/2009,Kagemaru Himeno,Zapdos,48,['Lightning'],Pokémon,['Basic'],40,100.0,none,none,none,"[{'name': 'Drill Peck', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '30', 'text': ''}, {'name': 'Lightning Wing', 'cost': ['Lightning', 'Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '50+', 'text': 'Flip a coin. If heads, this attack does 50 damage plus 20 more damage.'}]","[{'type': 'Lightning', 'value': '+30'}]","['Colorless', 'Colorless']",2.0,Rare,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.,[145],{'unlimited': 'Legal'},"[{'type': 'Fighting', 'value': '-20'}]",none,none,none,name: Drill Peck cost: Lightning Colorless Colorless convertedEnergyCost: 3 damage: 30 text:  name: Lightning Wing cost: Lightning Lightning Colorless Colorless convertedEnergyCost: 4 damage: 50+ text: Flip a coin. If heads this attack does 50 damage plus 20 more damage.,none,none,False,48-zapdos,0.00014359563469270534,2022
bw8-60,Plasma Storm,Black & White,TPCI,Fifth,2/6/2013,Mizue,Kirlia,60,['Psychic'],Pokémon,['Stage 1'],none,80.0,Ralts,"['Gardevoir', 'Gallade']",none,"[{'name': 'Psy Bolt', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Uncommon,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.",[281],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Psy Bolt cost: Psychic convertedEnergyCost: 1 damage: 20 text: Flip a coin. If heads the Defending Pokémon is now Paralyzed.,none,none,False,6-kirlia,0.0007179781734635267,2022
bw9-3,Plasma Freeze,Black & White,TPCI,Fifth,5/8/2013,kawayoo,Beedrill,3,['Grass'],Pokémon,['Stage 2'],none,120.0,Kakuna,none,none,"[{'name': 'Swift Sting', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20+', 'text': 'If this Pokémon has full HP, this attack does 40 more damage, and the Defending Pokémon is now Confused and Poisoned.'}, {'name': 'Pierce', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",none,none,Rare,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",[15],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Swift Sting cost: Grass convertedEnergyCost: 1 damage: 20+ text: If this Pokémon has full HP this attack does 40 more damage and the Defending Pokémon is now Confused and Poisoned. name: Pierce cost: Colorless Colorless Colorless convertedEnergyCost: 3 damage: 60 text: ,none,none,False,3-beedrill,0.0031591039632395176,2022
bw9-17,Plasma Freeze,Black & White,TPCI,Fifth,5/8/2013,Shin Nagasawa,Reshiram,17,['Fire'],Pokémon,['Basic'],none,130.0,none,none,none,"[{'name': 'Purifying Flame', 'cost': ['Fire', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Remove all Special Conditions from this Pokémon.'}, {'name': 'Fusion Flare', 'cost': ['Fire', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '80+', 'text': 'If Zekrom is on your Bench, this attack does 40 more damage.'}]","[{'type': 'Water', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Rare Holo,This legendary Pokémon can scorch the world with fire. It helps those who want to build a world of truth.,[643],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Purifying Flame cost: Fire Colorless Colorless convertedEnergyCost: 3 damage: 50 text: Remove all Special Conditions from this Pokémon. name: Fusion Flare cost: Fire Colorless Colorless Colorless convertedEnergyCost: 4 damage: 80+ text: If Zekrom is on your Bench this attack does 40 more damage.,none,none,False,17-reshiram,0.00014359563469270534,2022
