id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,power_level,tournamentYear
ex1-67,Ruby & Sapphire,EX,TPCI,Third,7/1/2003,Atsuko Nishida,Ralts,67,['Psychic'],Pokémon,['Basic'],none,50.0,none,['Kirlia'],none,"[{'name': 'Headbutt', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Hypnoblast', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'The Defending Pokémon is now Asleep.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Common,none,[280],{'unlimited': 'Legal'},none,none,none,none,name: Headbutt cost: Colorless convertedEnergyCost: 1 damage: 10 text:  name: Hypnoblast cost: Psychic Colorless convertedEnergyCost: 2 damage: 20 text: The Defending Pokémon is now Asleep.,none,none,False,67-ralts,0.031121399176954733,2023
ex3-63,Dragon,EX,TPCI,Third,11/24/2003,Kyoko Umemoto,Magnemite,63,['Lightning'],Pokémon,['Basic'],none,50.0,none,['Magneton'],none,"[{'name': 'Thundershock', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '10', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,Common,none,[81],{'unlimited': 'Legal'},none,none,none,none,name: Thundershock cost: Lightning convertedEnergyCost: 1 damage: 10 text: Flip a coin. If heads the Defending Pokémon is now Paralyzed.,none,none,False,63-magnemite,0.0007716049382716049,2023
ex8-17,Deoxys,EX,TPCI,Third,2/1/2005,Hironobu Yoshida,Deoxys,17,['Psychic'],Pokémon,['Basic'],none,70.0,none,none,"[{'name': 'Form Change', 'text': ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", 'type': 'Poké-Power'}]","[{'name': 'Energy Crush', 'cost': ['Psychic', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '10+', 'text': ""Does 10 damage plus 10 more damage for each Energy attached to all of your opponent's Pokémon.""}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Rare,none,[386],{'unlimited': 'Legal'},none,none,none,none,"name: Energy Crush cost: Psychic Colorless Colorless convertedEnergyCost: 3 damage: 10+ text: ""Does 10 damage plus 10 more damage for each Energy attached to all of your opponents Pokémon.""","name: Form Change text: ""Once during your turn (before your attack) you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys damage counters Special Conditions and effects on it are now on the new Pokémon.) If you do put Deoxys on top of your deck. Shuffle your deck afterward. You cant use more than 1 Form Change Poké-Power each turn."" type: Poké-Power",none,False,17-deoxys,0.0051440329218107,2023
ex15-60,Dragon Frontiers,EX,TPCI,Third,11/1/2006,Hajime Kusajima,Ralts,60,['Psychic'],Pokémon,['Basic'],none,50.0,none,['Kirlia'],none,"[{'name': 'Hypnosis', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'The Defending Pokémon is now Asleep.'}, {'name': 'Psychic Boom', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '10×', 'text': 'Does 10 damage times the amount of Energy attached to the Defending Pokémon.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Common,none,[280],{'unlimited': 'Legal'},none,none,none,none,name: Hypnosis cost: Colorless convertedEnergyCost: 1 damage:  text: The Defending Pokémon is now Asleep. name: Psychic Boom cost: Psychic convertedEnergyCost: 1 damage: 10× text: Does 10 damage times the amount of Energy attached to the Defending Pokémon.,none,none,False,6-ralts,0.11213991769547325,2023
bw4-1,Next Destinies,Black & White,TPCI,Fifth,2/8/2012,Masakazu Fukuda,Pinsir,1,['Grass'],Pokémon,['Basic'],none,80.0,none,none,none,"[{'name': 'Power Pinch', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': 'Flip 2 coins. For each heads, discard an Energy attached to the Defending Pokémon.'}, {'name': 'Grip and Squeeze', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': ""The Defending Pokémon can't retreat during your opponent's next turn.""}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Rare,"It grips prey with its pincers until the prey is torn in half. What it can't tear, it tosses far.",[127],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,"name: Power Pinch cost: Colorless Colorless convertedEnergyCost: 2 damage:  text: Flip 2 coins. For each heads discard an Energy attached to the Defending Pokémon. name: Grip and Squeeze cost: Grass Grass Colorless convertedEnergyCost: 3 damage: 70 text: ""The Defending Pokémon cant retreat during your opponents next turn.""",none,none,True,1-pinsir,0.0001286008230452675,2023
mcd12-9,McDonald's Collection 2012,Other,TPCI,Other,6/15/2012,Atsuko Nishida,Purrloin,9,['Darkness'],Pokémon,['Basic'],none,60.0,none,['Liepard'],none,"[{'name': 'Knock Off', 'cost': ['Darkness', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ""Flip a coin. If heads, discard a random card from your opponent's hand.""}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,none,"They steal from people for fun, but their victims can't help but forgive them. Their deceptively cute act is perfect.",[509],"{'unlimited': 'Legal', 'expanded': 'Legal'}","[{'type': 'Psychic', 'value': '-20'}]",none,none,none,"name: Knock Off cost: Darkness Colorless convertedEnergyCost: 2 damage: 20 text: ""Flip a coin. If heads discard a random card from your opponents hand.""",none,none,False,9-purrloin,0.0001286008230452675,2023
bw8-60,Plasma Storm,Black & White,TPCI,Fifth,2/6/2013,Mizue,Kirlia,60,['Psychic'],Pokémon,['Stage 1'],none,80.0,Ralts,"['Gardevoir', 'Gallade']",none,"[{'name': 'Psy Bolt', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Uncommon,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.",[281],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Psy Bolt cost: Psychic convertedEnergyCost: 1 damage: 20 text: Flip a coin. If heads the Defending Pokémon is now Paralyzed.,none,none,False,6-kirlia,0.012088477366255145,2023
bw9-3,Plasma Freeze,Black & White,TPCI,Fifth,5/8/2013,kawayoo,Beedrill,3,['Grass'],Pokémon,['Stage 2'],none,120.0,Kakuna,none,none,"[{'name': 'Swift Sting', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20+', 'text': 'If this Pokémon has full HP, this attack does 40 more damage, and the Defending Pokémon is now Confused and Poisoned.'}, {'name': 'Pierce', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",none,none,Rare,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",[15],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Swift Sting cost: Grass convertedEnergyCost: 1 damage: 20+ text: If this Pokémon has full HP this attack does 40 more damage and the Defending Pokémon is now Confused and Poisoned. name: Pierce cost: Colorless Colorless Colorless convertedEnergyCost: 3 damage: 60 text: ,none,none,False,3-beedrill,0.0001286008230452675,2023
xyp-XY110,XY Black Star Promos,XY,TPCI,Fifth,10/12/2013,Kouki Saitou,Mew,XY110,['Psychic'],Pokémon,['Basic'],none,70.0,none,none,none,"[{'name': 'Clairvoyance', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Your opponent reveals his or her hand.'}, {'name': 'Psychic', 'cost': ['Psychic', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40+', 'text': ""This attack does 10 more damage for each Energy attached to your opponent's Active Pokémon.""}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,Promo,"Its DNA is said to contain the genetic codes of all Pokémon, so it can use all kinds of techniques.",[151],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,"name: Clairvoyance cost: Colorless convertedEnergyCost: 1 damage:  text: Your opponent reveals his or her hand. name: Psychic cost: Psychic Colorless Colorless convertedEnergyCost: 3 damage: 40+ text: ""This attack does 10 more damage for each Energy attached to your opponents Active Pokémon.""",none,none,False,11-mew,0.045781893004115226,2023
bw11-81,Legendary Treasures,Black & White,TPCI,Fifth,11/6/2013,Hajime Kusajima,Gallade,81,['Fighting'],Pokémon,['Stage 2'],none,140.0,Kirlia,none,none,"[{'name': 'Nerve Shot', 'cost': ['Fighting'], 'convertedEnergyCost': 1, 'damage': '30', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Pandemonium Blade', 'cost': ['Fighting', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60+', 'text': 'Does 20 more damage for each of your Benched Pokémon that has any damage counters on it.'}]","[{'type': 'Psychic', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Rare,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely.",[475],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Nerve Shot cost: Fighting convertedEnergyCost: 1 damage: 30 text: Flip a coin. If heads the Defending Pokémon is now Paralyzed. name: Pandemonium Blade cost: Fighting Colorless Colorless convertedEnergyCost: 3 damage: 60+ text: Does 20 more damage for each of your Benched Pokémon that has any damage counters on it.,none,none,False,81-gallade,0.00102880658436214,2023
xy9-20,BREAKpoint,XY,TPCI,Sixth,2/3/2016,kirisAki,Slowbro,20,['Water'],Pokémon,['Stage 1'],none,100.0,Slowpoke,none,none,"[{'name': 'Careless Head', 'cost': ['Water'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': 'Flip a coin. If heads, this attack does 50 more damage.'}, {'name': 'Walk-Off Homer', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': 'If you use this attack when you have only 1 Prize card left, you win this game.'}]","[{'type': 'Grass', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,Uncommon,"When a Slowpoke went hunting in the sea, its tail was bitten by a Shellder. That made it evolve into Slowbro.",[80],"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,none,none,none,name: Careless Head cost: Water convertedEnergyCost: 1 damage: 10+ text: Flip a coin. If heads this attack does 50 more damage. name: Walk-Off Homer cost: Colorless Colorless Colorless convertedEnergyCost: 3 damage:  text: If you use this attack when you have only 1 Prize card left you win this game.,none,none,False,2-slowbro,0.0001286008230452675,2023
